    0.133996141156936810E+01    0.435226177730669519E+03   -0.113435308981154215E+01   -0.388384629191107678E+01   -0.723785708251015958E+01    0.167490550053607194E+03
    0.134219053585646009E+01    0.415016675692531635E+03   -0.568670916064929521E+01   -0.101820026173984068E+01   -0.765236697673310662E+01    0.168012142246385679E+03
    0.133952747160870045E+01    0.413916789773560026E+03   -0.104801167526382422E+01   -0.104417170975054816E+02   -0.626014196891661623E+01    0.170239430329055608E+03
    0.133958792766138624E+01    0.406910201313500238E+03   -0.121577197810467830E+01   -0.906610566601837320E+01   -0.904967460531266354E+01    0.170572050417388539E+03
    0.134018075379674140E+01    0.419750389565801072E+03   -0.114872284433367966E+01   -0.921438051323168672E+01   -0.118860713794064274E+02    0.171512581965528113E+03
    0.133912481906754577E+01    0.476826120009381157E+03   -0.100901252464726809E+01   -0.745090631769004652E+01   -0.119504678658642316E+02    0.171672421605337320E+03
    0.133916739274266550E+01    0.464387734659636862E+03   -0.101120867799195580E+01   -0.932979609105152541E+01   -0.107887370099399575E+02    0.171834776322585412E+03
    0.134139849810899325E+01    0.409958143425273931E+03   -0.230798939788174984E+01   -0.110336411859479000E+01   -0.933998557644655492E+01    0.171910011473057637E+03
    0.134006868243872468E+01    0.457243072125476488E+03   -0.106584664443676935E+01   -0.595172593004441275E+01   -0.118187696168588321E+02    0.171917857205230177E+03
    0.133929252015806566E+01    0.400242774297114011E+03   -0.110066747239502760E+01   -0.689981414814731409E+01   -0.101682130872343635E+02    0.172476552701695084E+03
    0.133999249439114321E+01    0.440309159616566831E+03   -0.105346409500651106E+01   -0.975519139273575142E+01   -0.781359252249748870E+01    0.172584984708677439E+03
    0.134086406511574241E+01    0.425748182464208980E+03   -0.131833840830985238E+01   -0.117381407027317941E+01   -0.659903243081801971E+01    0.172632196802949409E+03
    0.134094765751736644E+01    0.446680181123299633E+03   -0.141986943135345633E+01   -0.111236383802484795E+01   -0.684556589041584473E+01    0.172658241646128943E+03
    0.134090124988690529E+01    0.424685547899055564E+03   -0.108259560977280955E+01   -0.535016240537833099E+01   -0.808262777075133343E+01    0.172710723046298597E+03
    0.134199445684523866E+01    0.435033864530583003E+03   -0.183946098817966686E+01   -0.101155233683380352E+01   -0.525156136541135066E+01    0.172874216359703439E+03
    0.133917366763374868E+01    0.432176701383578916E+03   -0.100543514912596166E+01   -0.361707745852311113E+01   -0.109675752749617370E+02    0.172893683002179216E+03
    0.134139057508040449E+01    0.428400266041138707E+03   -0.103828495199447524E+01   -0.112146034293966501E+01   -0.809980235186057662E+01    0.172963948174973552E+03
    0.134049502792157771E+01    0.427943520077932646E+03   -0.106170114866982956E+01   -0.904819254980509058E+01   -0.770225489466094526E+01    0.172986978773745022E+03
    0.134184524098372382E+01    0.410585610268095763E+03   -0.102935047309984995E+01   -0.528305829740891042E+01   -0.738463884752269983E+01    0.173120014449986627E+03
    0.133950436669747219E+01    0.411893536225493619E+03   -0.112542819090547042E+01   -0.785614988900894229E+01   -0.117621852680475385E+02    0.173206764597917072E+03
    0.134133370719137934E+01    0.428339308075918780E+03   -0.155372553503743127E+01   -0.102076599682515123E+01   -0.625113967092625344E+01    0.173334650188502621E+03
    0.134183572271136642E+01    0.420720040779440069E+03   -0.101746858583204158E+01   -0.574149427658603528E+01   -0.102824619707026450E+02    0.173363543315922129E+03
    0.133992013958950551E+01    0.428190109137877528E+03   -0.109008693924986844E+01   -0.909791860049467971E+01   -0.101153639225125023E+02    0.173390446873011797E+03
    0.134018733089058228E+01    0.417890868576216292E+03   -0.111010834447439777E+01   -0.937111937810891860E+01   -0.955463042248892158E+01    0.173502873169969860E+03
    0.134173116944736992E+01    0.404699202519943412E+03   -0.206981513451956900E+01   -0.107155836098509560E+01   -0.606385193115237353E+01    0.173547441246784615E+03
    0.134021285958603231E+01    0.456052001577478734E+03   -0.101084666776845111E+01   -0.915761562095161352E+01   -0.104428367755399822E+02    0.173661526400249898E+03
    0.133969018715905497E+01    0.402766003823941389E+03   -0.113837187900296755E+01   -0.841259572635670949E+01   -0.102451001659152681E+02    0.173708457646842760E+03
    0.133927708037049742E+01    0.428188880104344946E+03   -0.105203686044802325E+01   -0.378113701482085673E+01   -0.996801820619954881E+01    0.173721878892991867E+03
    0.134011223208969765E+01    0.404396803829153214E+03   -0.113398007289398350E+01   -0.930822605924839586E+01   -0.840957829039786198E+01    0.173765863715015485E+03
    0.134055750844372845E+01    0.404661146248197952E+03   -0.104958770044323124E+01   -0.211777829432445230E+01   -0.901735106241161510E+01    0.173793862745061858E+03
    0.133936025578344475E+01    0.405118826573583192E+03   -0.116430132680654275E+01   -0.554259155872353837E+01   -0.977666514227303729E+01    0.173856672040160959E+03
    0.134306013267091795E+01    0.436703350944779288E+03   -0.134511609757502626E+01   -0.107514073363356744E+01   -0.885549447704791248E+01    0.173915856766132947E+03
    0.134032576576994833E+01    0.456060613054346163E+03   -0.102295750605411229E+01   -0.458714926538963041E+01   -0.889112741622126279E+01    0.173920226720480628E+03
    0.134251323567261704E+01    0.427018010228380604E+03   -0.118505875415054440E+01   -0.115364472530251128E+01   -0.479845394762792221E+01    0.173937929736411832E+03
    0.133927780167443400E+01    0.425594172625523470E+03   -0.100877400553057406E+01   -0.468124735707585060E+01   -0.999799350066027692E+01    0.173943292301710073E+03
    0.134123294291717166E+01    0.423281456601595892E+03   -0.111882639433861719E+01   -0.144573697120560141E+01   -0.777799379406753655E+01    0.174073081560723665E+03
    0.134009659139507087E+01    0.428336486720176936E+03   -0.105218531800890425E+01   -0.980105975655498440E+01   -0.813861458223931677E+01    0.174103044472718011E+03
    0.133965279297369810E+01    0.437303770868196921E+03   -0.104892551208591023E+01   -0.731777072197865408E+01   -0.117888842020723139E+02    0.174171528728274325E+03
    0.134279954634354382E+01    0.438269354968224434E+03   -0.147635178161893243E+01   -0.104893414476955371E+01   -0.904459799773938578E+01    0.174194778540626260E+03
    0.133996878270482034E+01    0.407021475871731013E+03   -0.116141337865377636E+01   -0.623576488286978936E+01   -0.931688752673288789E+01    0.174202659363669625E+03
    0.133934385272637879E+01    0.428004563073378392E+03   -0.102459706465967848E+01   -0.473133293483744577E+01   -0.820110454555576851E+01    0.174216140481232912E+03
    0.133989238281727085E+01    0.428724495014832030E+03   -0.106238507992950204E+01   -0.111494502729985676E+02   -0.112149465493802669E+02    0.174219438403666572E+03
    0.134073979269129184E+01    0.407522065266805782E+03   -0.101289663947519948E+01   -0.116202313814267626E+02   -0.610365693847351842E+01    0.174259304302592625E+03
    0.134139436347370711E+01    0.417322851814099579E+03   -0.102004991675826240E+01   -0.112839381125173421E+02   -0.793162053531302824E+01    0.174285628236107812E+03
