    0.156001569889783842E+01    0.153108246326446533E+04   -0.610564422607421875E+01   -0.279191279411315918E+01   -0.333920508623123169E+01   -0.427699598026495252E+06   -0.599146350544150419E+01    1
    0.156031100238561615E+01    0.155209553241729736E+04   -0.891246294975280762E+01   -0.119408733844757080E+02   -0.451838636398315430E+01   -0.380754179596105998E+06   -0.599396350544151169E+01    1
    0.154161077293753612E+01    0.157899751663208008E+04   -0.495861083269119263E+01   -0.439929652214050293E+01   -0.399023449420928955E+01   -0.361806477835649275E+06   -0.599646350544151474E+01    1
    0.154677314059138293E+01    0.144294114112854004E+04   -0.541498661041259766E+01   -0.870494216680526733E+01   -0.427290272712707520E+01   -0.322541321206554130E+06   -0.599896350544151957E+01    1
    0.154633166770935038E+01    0.139790534973144531E+04   -0.740591442584991455E+01   -0.288569122552871704E+01   -0.462829512357711792E+01   -0.297662990511917393E+06   -0.600146350544151552E+01    1
    0.152389115422368038E+01    0.142055385112762451E+04   -0.101984163522720337E+02   -0.462310367822647095E+01   -0.322547847032546997E+01   -0.295170332374311693E+06   -0.600396350544151858E+01    1
    0.153415810219645499E+01    0.135924606323242188E+04   -0.113594603538513184E+02   -0.913071608543395996E+01   -0.397992831468582153E+01   -0.279762426434809400E+06   -0.600646350544151630E+01    1
    0.153519737509489040E+01    0.119608764648437500E+04   -0.517741143703460693E+01   -0.645210862159729004E+01   -0.332721388339996338E+01   -0.261210956512370787E+06   -0.600896350544152469E+01    1
    0.155565610862374282E+01    0.966560292243957520E+03   -0.751152211427688599E+01   -0.762458717823028564E+01   -0.377939283847808838E+01   -0.248413205699394573E+06   -0.601146350544151886E+01    1
    0.155474123159050936E+01    0.154270894527435303E+04   -0.102686156034469604E+02   -0.836301749944686890E+01   -0.860896009206771851E+01   -0.235402881437200675E+06   -0.601396350544150859E+01    1
    0.152751574208736418E+01    0.138526248931884766E+04   -0.561957007646560669E+01   -0.323594725131988525E+01   -0.521360337734222412E+01   -0.234434685422682756E+06   -0.601646350544151520E+01    1
    0.155809549720287310E+01    0.109687967300415039E+04   -0.115288733839988708E+02   -0.182222187519073486E+01   -0.110502271056175232E+02   -0.233176750609129347E+06   -0.601896350544151559E+01    1
    0.153850398681163769E+01    0.142988328933715820E+04   -0.113512260317802429E+02   -0.231827306747436523E+01   -0.980260306596755981E+01   -0.232448745345734817E+06   -0.602146350544152753E+01    1
    0.153027765106558777E+01    0.157964739799499512E+04   -0.474483513832092285E+01   -0.186254966259002686E+01   -0.793638533353805542E+01   -0.232323811117999430E+06   -0.602396350544153325E+01    1
    0.155113814994692789E+01    0.118704345226287842E+04   -0.629664719104766846E+01   -0.378387093544006348E+01   -0.946447330713272095E+01   -0.213754709806439991E+06   -0.602646350544152298E+01    1
    0.155976007863879196E+01    0.665399432182312012E+03   -0.495371443033218384E+01   -0.116277042627334595E+02   -0.227907693386077881E+01   -0.211920576621916989E+06   -0.602896350544150561E+01    1
    0.155031675814390169E+01    0.973640394210815430E+03   -0.120156353712081909E+01   -0.219409996271133423E+01   -0.439938569068908691E+01   -0.198765728846091137E+06   -0.603146350544150955E+01    1
    0.156137943626046161E+01    0.655627751350402832E+03   -0.285970711708068848E+01   -0.714044719934463501E+01   -0.803169536590576172E+01   -0.196912026251662784E+06   -0.603396350544152682E+01    1
    0.155437669508457166E+01    0.973321247100830078E+03   -0.985175591707229614E+01   -0.938012444972991943E+01   -0.852750265598297119E+01   -0.196816852160578681E+06   -0.603646350544153165E+01    1
    0.146203860908746708E+01    0.158076012134552002E+04   -0.104386574029922485E+02   -0.355769360065460205E+01   -0.304303830862045288E+01   -0.193883707072614023E+06   -0.603896350544152227E+01    1
    0.154045062779188147E+01    0.143998184204101562E+04   -0.394562399387359619E+01   -0.112808996438980103E+01   -0.118588724136352539E+02   -0.189329441970410844E+06   -0.604146350544151556E+01    1
    0.154075550580024712E+01    0.764457559585571289E+03   -0.759911251068115234E+01   -0.956922799348831177E+01   -0.331024235486984253E+01   -0.188326689896755153E+06   -0.604396350544152039E+01    1
    0.146420040947198848E+01    0.151593828201293945E+04   -0.542997938394546509E+01   -0.894454133510589600E+01   -0.290835970640182495E+01   -0.187494751412130572E+06   -0.604646350544152966E+01    1
    0.154951643514633153E+01    0.724827527999877930E+03   -0.228391957283020020E+01   -0.319653081893920898E+01   -0.908922123908996582E+01   -0.185859307385186839E+06   -0.604896350544152206E+01    1
    0.154590905225872977E+01    0.113380932807922363E+04   -0.612281310558319092E+01   -0.117402441501617432E+02   -0.108879095315933228E+02   -0.185333922334817238E+06   -0.605146350544152156E+01    1
    0.152553510426878924E+01    0.157468345165252686E+04   -0.594743233919143677E+01   -0.539900380373001099E+01   -0.928711116313934326E+01   -0.183642165048831550E+06   -0.605396350544152995E+01    1
