Nested Sampling Global Log-Evidence           :    0.430366898641345699E+03  +/-    0.194845088933347454E+00

Dim No.       Mean        Sigma
   1    0.130256062334743650E+01    0.244421396350731320E-02
   2    0.142857605244433080E+04    0.678741721430077405E+02
   3   -0.558944420285658783E+01    0.335973578657291938E+00
   4   -0.712455881211591535E+01    0.348602961861222027E+00
   5   -0.106721233802486495E+02    0.711811790874373740E+00
   6   -0.389398590595811145E+01    0.199373192113886127E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.130326075792335816E+01
   2    0.142324674332271275E+04
   3   -0.571030891613220515E+01
   4   -0.724276914896212531E+01
   5   -0.102597949158062978E+02
   6   -0.393603161231780696E+01

MAP Parameters
Dim No.        Parameter
   1    0.130326075792335816E+01
   2    0.142324674332271275E+04
   3   -0.571030891613220515E+01
   4   -0.724276914896212531E+01
   5   -0.102597949158062978E+02
   6   -0.393603161231780696E+01
