    0.152122037329673754E+01    0.155885634422302246E+04   -0.112689726352691650E+02   -0.468039381504058838E+01   -0.316856795549392700E+01   -0.107853093147277832E+02   -0.332634299382579513E+06   -0.599146350544150419E+01    1
    0.155200702553987480E+01    0.122615664005279541E+04   -0.776489979028701782E+01   -0.973575025796890259E+01   -0.229296165704727173E+01   -0.741420578956604004E+01   -0.316911775355109246E+06   -0.599396350544151169E+01    1
    0.156256743013858790E+01    0.138263514041900635E+04   -0.466611045598983765E+01   -0.175947999954223633E+01   -0.185262310504913330E+01   -0.116205537319183350E+02   -0.313362502253065933E+06   -0.599646350544151474E+01    1
    0.151893719034790986E+01    0.147825331687927246E+04   -0.101170729994773865E+02   -0.369618284702301025E+01   -0.213246941566467285E+01   -0.799890953302383423E+01   -0.291570743313735118E+06   -0.599896350544151957E+01    1
    0.155845685030221937E+01    0.120472893714904785E+04   -0.141342538595199585E+01   -0.533827608823776245E+01   -0.433821213245391846E+01   -0.291981786489486694E+01   -0.280388007818226179E+06   -0.600146350544151552E+01    1
    0.153302915929555872E+01    0.156875476837158203E+04   -0.839793092012405396E+01   -0.207150042057037354E+01   -0.523870956897735596E+01   -0.110664610266685486E+02   -0.271802347621891473E+06   -0.600396350544151858E+01    1
    0.152096222575306883E+01    0.142378416061401367E+04   -0.222677105665206909E+01   -0.450252157449722290E+01   -0.106836506128311157E+02   -0.196250760555267334E+01   -0.267665325292547292E+06   -0.600646350544151630E+01    1
    0.150824689790010424E+01    0.140443384647369385E+04   -0.208331722021102905E+01   -0.114029975533485413E+02   -0.353268903493881226E+01   -0.215278410911560059E+01   -0.265515715565852530E+06   -0.600896350544152469E+01    1
    0.155428308835029583E+01    0.139408073425292969E+04   -0.877346622943878174E+01   -0.317366039752960205E+01   -0.708944344520568848E+01   -0.809336590766906738E+01   -0.264626484748904360E+06   -0.601146350544151886E+01    1
    0.156061345031261434E+01    0.105749440193176270E+04   -0.334592813253402710E+01   -0.428283452987670898E+01   -0.477703350782394409E+01   -0.606512826681137085E+01   -0.260412904974332370E+06   -0.601396350544150859E+01    1
    0.152459937713742244E+01    0.123682546615600586E+04   -0.841464018821716309E+01   -0.763402068614959717E+01   -0.254767817258834839E+01   -0.102908349633216858E+02   -0.255798189572334872E+06   -0.601646350544151520E+01    1
    0.155727631677389122E+01    0.109871273040771484E+04   -0.227818721532821655E+01   -0.406840449571609497E+01   -0.782005447149276733E+01   -0.411644339561462402E+01   -0.248787184781735967E+06   -0.601896350544151559E+01    1
    0.154313137205243089E+01    0.136365618705749512E+04   -0.197261118888854980E+01   -0.453377383947372437E+01   -0.951373171806335449E+01   -0.421568995714187622E+01   -0.243727597944042005E+06   -0.602146350544152753E+01    1
    0.155736379970312111E+01    0.874247312545776367E+03   -0.850172835588455200E+01   -0.474400967359542847E+01   -0.328222376108169556E+01   -0.960517799854278564E+01   -0.240833832990860305E+06   -0.602396350544153325E+01    1
    0.154528641681075074E+01    0.108949515819549561E+04   -0.537634581327438354E+01   -0.388732087612152100E+01   -0.927128833532333374E+01   -0.323560041189193726E+01   -0.235551331374954898E+06   -0.602646350544152298E+01    1
