    0.151497212378382673E+01    0.151175439357757568E+04   -0.112516175508499146E+02   -0.113521091938018799E+02   -0.205164861679077148E+01   -0.265550229394547699E+06   -0.599146350544150419E+01    1
    0.155808767234086964E+01    0.129145927429199219E+04   -0.221988606452941895E+01   -0.102419666647911072E+02   -0.859816348552703857E+01   -0.241548398262249422E+06   -0.599396350544151169E+01    1
    0.150066856765151013E+01    0.156107242107391357E+04   -0.987095731496810913E+01   -0.684537863731384277E+01   -0.212215733528137207E+01   -0.240124010056238418E+06   -0.599646350544151474E+01    1
    0.155720815299153315E+01    0.118775177001953125E+04   -0.274970459938049316E+01   -0.175148105621337891E+01   -0.874056172370910645E+01   -0.239831627336600970E+06   -0.599896350544151957E+01    1
    0.155904116336703291E+01    0.149490375518798828E+04   -0.634780764579772949E+01   -0.106428396105766296E+02   -0.972829222679138184E+01   -0.229174387738855410E+06   -0.600146350544151552E+01    1
    0.155523062567710868E+01    0.111227927207946777E+04   -0.655314314365386963E+01   -0.116665692925453186E+02   -0.433237421512603760E+01   -0.223321331045894534E+06   -0.600396350544151858E+01    1
    0.155585688194632521E+01    0.866380715370178223E+03   -0.880887138843536377E+01   -0.383280479907989502E+01   -0.328691035509109497E+01   -0.223240936523452925E+06   -0.600646350544151630E+01    1
    0.154709325520992258E+01    0.153132092952728271E+04   -0.119365048408508301E+01   -0.172917973995208740E+01   -0.606685590744018555E+01   -0.219039890515873907E+06   -0.600896350544152469E+01    1
    0.149123664423823343E+01    0.159003505706787109E+04   -0.108122939467430115E+02   -0.455832207202911377E+01   -0.246370697021484375E+01   -0.218227792647034774E+06   -0.601146350544151886E+01    1
    0.155155043755173661E+01    0.985431313514709473E+03   -0.352993726730346680E+01   -0.213114893436431885E+01   -0.535352522134780884E+01   -0.215939283428642753E+06   -0.601396350544150859E+01    1
    0.155116291247606264E+01    0.107690830230712891E+04   -0.235537898540496826E+01   -0.539115631580352783E+01   -0.935691571235656738E+01   -0.209870290954810305E+06   -0.601646350544151520E+01    1
    0.154800339358448968E+01    0.125191915035247803E+04   -0.575793212652206421E+01   -0.464262044429779053E+01   -0.644420146942138672E+01   -0.208146345982414292E+06   -0.601896350544151559E+01    1
