    0.129785866609792566E+01    0.145399919791165280E+04   -0.537653393043472771E+01   -0.707290381539915725E+01   -0.361472177509411985E+01    0.435977998795036228E+03
    0.130542624657708406E+01    0.155740053052735720E+04   -0.678604499413352880E+01   -0.759040300890417807E+01   -0.447397482288302761E+01    0.438615974001662380E+03
    0.130764957252763203E+01    0.123876621914281350E+04   -0.477645941095246940E+01   -0.713638062585918664E+01   -0.362890204777253267E+01    0.439358032901345325E+03
    0.129589102627509845E+01    0.140046810251687293E+04   -0.450230013300582677E+01   -0.596922325876437299E+01   -0.332799978718923484E+01    0.439459278333226393E+03
    0.130403366939433063E+01    0.140039256266154234E+04   -0.531195067381879404E+01   -0.678072503662053006E+01   -0.381674537626804877E+01    0.439500666480342488E+03
    0.130920030069119742E+01    0.135106448196188376E+04   -0.557555559039059823E+01   -0.796298770746737983E+01   -0.409188793626445069E+01    0.439619248916383526E+03
    0.130517044286847472E+01    0.144881561751081836E+04   -0.564094412763282627E+01   -0.677888212798740231E+01   -0.415653357327291317E+01    0.439854278807299465E+03
    0.130665935031652269E+01    0.122481842929946015E+04   -0.490795114794045784E+01   -0.659533608632175206E+01   -0.341454671956855904E+01    0.439871163753359895E+03
    0.131096853284752379E+01    0.124589443582544936E+04   -0.603948697009029267E+01   -0.749300649950103459E+01   -0.394300777773757360E+01    0.439906351612763956E+03
    0.130202593352264540E+01    0.131123676560523700E+04   -0.522894480227263081E+01   -0.645104847049534236E+01   -0.351233995819231026E+01    0.439907080174379075E+03
    0.130604018203843286E+01    0.132438240890721636E+04   -0.602216982537416623E+01   -0.746115339107063846E+01   -0.378830596657852858E+01    0.439923238212519379E+03
    0.130958467283256508E+01    0.133602926388039805E+04   -0.588339566084329935E+01   -0.811990243841860249E+01   -0.405322466432183237E+01    0.439944382252911851E+03
    0.130436173881231610E+01    0.144120954970822572E+04   -0.622788919774901473E+01   -0.761475721614143986E+01   -0.412375077648608013E+01    0.440025471453739272E+03
    0.130219514587981777E+01    0.151961974553965638E+04   -0.578555392556152714E+01   -0.792268681802418850E+01   -0.420948897281655299E+01    0.440173234834576874E+03
    0.130506403275425709E+01    0.122750878701685269E+04   -0.461733161983661322E+01   -0.654218728794663296E+01   -0.332420211727622217E+01    0.440196687310471134E+03
    0.130551055775048819E+01    0.139734960080548581E+04   -0.623542080923618247E+01   -0.685678836408157100E+01   -0.399695021883991330E+01    0.440244151944213115E+03
    0.130188644348889282E+01    0.131051147178896827E+04   -0.489626454622165408E+01   -0.613562101535975035E+01   -0.351218669657082039E+01    0.440258723561795364E+03
    0.130559691869352101E+01    0.127228269371339798E+04   -0.552390898858120138E+01   -0.732517028851067487E+01   -0.357953157044752679E+01    0.440360225968464363E+03
