    0.131575660365689950E+01    0.119699225156250282E+04   -0.413750085124486944E+01    0.365955396201791871E+03
    0.131571926662287408E+01    0.140994912428730277E+04   -0.470988960228303277E+01    0.366118206521674949E+03
    0.131168828045256980E+01    0.147993363664355002E+04   -0.458401783962673992E+01    0.366164871125169043E+03
    0.131481668006516461E+01    0.124382729771179197E+04   -0.426105930630783813E+01    0.366666583789662354E+03
    0.131974931828346920E+01    0.118663590543967575E+04   -0.443974300370672115E+01    0.366759352449993685E+03
    0.131249332200204316E+01    0.142968306733678014E+04   -0.451017182067315492E+01    0.367297411608996583E+03
    0.131039188951350494E+01    0.154609639794676377E+04   -0.471761163004963624E+01    0.367457129434258604E+03
    0.130988098395760000E+01    0.156462099828800569E+04   -0.475657879477840151E+01    0.367785722923961544E+03
    0.131733131225159661E+01    0.125001171484250062E+04   -0.435512182905632095E+01    0.367852810027387875E+03
    0.131253303772151342E+01    0.135602146804313520E+04   -0.438776876339427702E+01    0.367880819633334681E+03
    0.131687120603266683E+01    0.124129482426350296E+04   -0.451136396564702835E+01    0.367941794093227941E+03
    0.131167284010322005E+01    0.155636989631880442E+04   -0.494408644856372881E+01    0.367971749013510646E+03
    0.131947629700833735E+01    0.116061238438448072E+04   -0.437580446161904479E+01    0.368032012424152640E+03
    0.131825541420414982E+01    0.117024875801705775E+04   -0.434036065975278174E+01    0.368098358340835205E+03
    0.131539438030576150E+01    0.128841253772747041E+04   -0.453791401124213856E+01    0.368176684031451373E+03
    0.131214189620534416E+01    0.146769703836229155E+04   -0.479000174372878273E+01    0.368189759979938060E+03
    0.131749120270649067E+01    0.117418817725105487E+04   -0.425396447994822946E+01    0.368200938276668637E+03
    0.131114668621343644E+01    0.144552169216491711E+04   -0.457934538090149701E+01    0.368213877522430835E+03
    0.131304316406296673E+01    0.147651114422086448E+04   -0.469271899913829671E+01    0.368366976655679537E+03
    0.131220821657111597E+01    0.154151094275647029E+04   -0.494639468091706824E+01    0.368415830243384903E+03
    0.131425863900225326E+01    0.148564137200610844E+04   -0.494505414375536212E+01    0.368441303781803072E+03
    0.131189509731932885E+01    0.151034504895944610E+04   -0.486737899001878915E+01    0.368487895121508700E+03
    0.131349121708050887E+01    0.134183029626136158E+04   -0.451084210853267731E+01    0.368519495629560481E+03
    0.131031850038168551E+01    0.154039990855479800E+04   -0.475594528850573006E+01    0.368631075105902255E+03
    0.131653354234534459E+01    0.120131017940180504E+04   -0.421466798223788519E+01    0.368799985811469185E+03
    0.131387939244257224E+01    0.132725502492335227E+04   -0.435258624244013514E+01    0.368920694834249275E+03
    0.131372801675993944E+01    0.150631216550782779E+04   -0.492137528481994657E+01    0.368930299224733119E+03
    0.131826123942646878E+01    0.126954368303534147E+04   -0.466090255948540211E+01    0.368940103993678179E+03
    0.131640332507159941E+01    0.126213214002335826E+04   -0.452804563075610478E+01    0.368973171062869596E+03
    0.131591725636091050E+01    0.132683605344869011E+04   -0.471070973826217632E+01    0.368978840140348211E+03
    0.131825060560675333E+01    0.127738146339381387E+04   -0.466231074949072077E+01    0.368987542427927565E+03
    0.131694044549647371E+01    0.135660787377152428E+04   -0.473418778319726385E+01    0.368991642497727639E+03
    0.131479760028337522E+01    0.131196664062269701E+04   -0.454683791434982787E+01    0.369020442933603647E+03
    0.131775793306122502E+01    0.127618423067088452E+04   -0.452104527349121810E+01    0.369044526612849040E+03
    0.131707987253639613E+01    0.132969053093002776E+04   -0.462819268137171402E+01    0.369056313473871967E+03
    0.131483684667755862E+01    0.133783554541906506E+04   -0.442972037211395175E+01    0.369069357147510459E+03
    0.131450296844245740E+01    0.128186939923761929E+04   -0.435836778553013726E+01    0.369135243315570733E+03
    0.131518800952197767E+01    0.143918081014718632E+04   -0.480863555442275636E+01    0.369166007698162105E+03
    0.131117991195064709E+01    0.154193923137078423E+04   -0.485798719123492617E+01    0.369177203498664937E+03
    0.131662563599909466E+01    0.122526006096838091E+04   -0.439546213033750188E+01    0.369247296016131031E+03
    0.131059729382288803E+01    0.153944627773026946E+04   -0.475893774568678030E+01    0.369266593138999951E+03
    0.131232374635989713E+01    0.151709598323945124E+04   -0.477546861594072780E+01    0.369284630118529094E+03
    0.131556047496062378E+01    0.143001198593711547E+04   -0.487191554348565425E+01    0.369297718980869718E+03
    0.131486731882026175E+01    0.127379952419174924E+04   -0.437265497786714885E+01    0.369366651278012682E+03
    0.131293429347231028E+01    0.135130607274784825E+04   -0.441092036439598623E+01    0.369378222611879210E+03
    0.131580934262073912E+01    0.139807437363228291E+04   -0.486622966090477682E+01    0.369399517903783305E+03
    0.131393056782157625E+01    0.146317636023457840E+04   -0.489938057804161087E+01    0.369415585518299622E+03
    0.131548759537454152E+01    0.134654333274952205E+04   -0.473026509279333496E+01    0.369436454656548335E+03
    0.131828086088085361E+01    0.126587905195267240E+04   -0.460797323493452460E+01    0.369491312613154548E+03
    0.131428920373764901E+01    0.137142502912051259E+04   -0.469926716062403482E+01    0.369503846569145594E+03
    0.131775726352165967E+01    0.119855571688310511E+04   -0.428000652087327627E+01    0.369512066014837330E+03
    0.131823419577253520E+01    0.123069593801256724E+04   -0.454718888418667344E+01    0.369538687495077284E+03
    0.131328023891655543E+01    0.150642279464794251E+04   -0.492244980844819846E+01    0.369550150370812162E+03
    0.131801997965431616E+01    0.126948458917589596E+04   -0.464579509783743205E+01    0.369553591441703020E+03
    0.131386760060297680E+01    0.139218413365715378E+04   -0.451551597712341302E+01    0.369556089206221088E+03
    0.131107428543390059E+01    0.152527933980449029E+04   -0.473449997596259387E+01    0.369564531772265980E+03
