    0.130386696303827399E+01    0.126747764850238354E+04   -0.439729666993029777E+01   -0.714485797769212727E+01   -0.101952668796232082E+02   -0.347606961683018589E+01    0.436122550726642942E+03
    0.130437542986603860E+01    0.142462987695088964E+04   -0.651562285838591837E+01   -0.730185483114566747E+01   -0.111682958769369058E+02   -0.404922428296754155E+01    0.437491859180225617E+03
    0.131015662184732773E+01    0.129713163207104935E+04   -0.641150429110225506E+01   -0.815794769973200751E+01   -0.106869750563671246E+02   -0.404102036435866285E+01    0.438331540024776814E+03
    0.130945346456651901E+01    0.121579603216253827E+04   -0.552130809066881767E+01   -0.702048593439361568E+01   -0.986231251055152569E+01   -0.375198923175809007E+01    0.438440433233792021E+03
    0.130901363247656732E+01    0.141064157185467002E+04   -0.603665749103629601E+01   -0.810755438110389193E+01   -0.110294388845932669E+02   -0.424653219398480530E+01    0.439220586760990557E+03
    0.130086417466835491E+01    0.132539058378714526E+04   -0.531951367654807150E+01   -0.660450920084378090E+01   -0.102151500272963833E+02   -0.349444986485624121E+01    0.439253120625829638E+03
    0.129340893041923888E+01    0.141078028387572363E+04   -0.446060120940243721E+01   -0.643161846128487635E+01   -0.907702692815383294E+01   -0.327411392319333139E+01    0.439260077692963478E+03
    0.130747461097039741E+01    0.136284291177104524E+04   -0.538278801247220784E+01   -0.776077984953045075E+01   -0.106290208342332342E+02   -0.409615941956951524E+01    0.439321973746716708E+03
    0.129528269654988160E+01    0.136189512419621406E+04   -0.514162237737562844E+01   -0.571780616786528206E+01   -0.900381767091855068E+01   -0.311770501455705684E+01    0.439405340330709407E+03
    0.130461289145352222E+01    0.158285224215910080E+04   -0.672451219512970511E+01   -0.756391681984501751E+01   -0.119056726152756767E+02   -0.444991627072288498E+01    0.439443705721908032E+03
    0.130641012263515766E+01    0.153485091093083361E+04   -0.653757728704979879E+01   -0.813741289016181213E+01   -0.113239505117732175E+02   -0.440520796364613876E+01    0.439496132852176970E+03
    0.129908570428044157E+01    0.133371053532095357E+04   -0.583835824690680738E+01   -0.689648401541052092E+01   -0.866571204520731442E+01   -0.328650820312602576E+01    0.439497047390382079E+03
    0.130246203459077159E+01    0.127078666806063006E+04   -0.490050699988660199E+01   -0.598991506223133552E+01   -0.119737958352060812E+02   -0.333024951996930163E+01    0.439712737169666923E+03
    0.129697209851360418E+01    0.150731303462140954E+04   -0.620806139584872163E+01   -0.654372471260477884E+01   -0.951200840715443974E+01   -0.371645417051523630E+01    0.439773869900137242E+03
    0.129849805155159093E+01    0.145653271729484095E+04   -0.507150157207903707E+01   -0.699835456450340665E+01   -0.972453085813307538E+01   -0.362441677641655957E+01    0.439890686181985984E+03
    0.130509861373798430E+01    0.120826711066596226E+04   -0.460518601487907464E+01   -0.681450244290383722E+01   -0.112786181482600671E+02   -0.327932959804388346E+01    0.440092215584293172E+03
    0.130506608544584468E+01    0.125515148297513042E+04   -0.473261942518970269E+01   -0.724010259709719151E+01   -0.970827809784104900E+01   -0.349701795413139749E+01    0.440148292508791087E+03
    0.130166401634014162E+01    0.135518338876200278E+04   -0.566809367561479505E+01   -0.701514048628653342E+01   -0.101068421569367271E+02   -0.354451464898502877E+01    0.440160831292991020E+03
    0.130577835529400499E+01    0.153472047525604421E+04   -0.662468954370208518E+01   -0.814905603471810380E+01   -0.118481380100549387E+02   -0.439804713993786223E+01    0.440189877870218368E+03
    0.129889214531515673E+01    0.131320769505225280E+04   -0.540902329000192150E+01   -0.703622651075357020E+01   -0.888217356717948014E+01   -0.322080956912272320E+01    0.440198953136767841E+03
    0.130335007500512323E+01    0.155188351178328821E+04   -0.647277903183565329E+01   -0.716311686277892967E+01   -0.119106443075148061E+02   -0.434137967282662540E+01    0.440312284456674661E+03
    0.130455638302866772E+01    0.121251158268215454E+04   -0.502939921112129795E+01   -0.692828714802610168E+01   -0.954120163906668139E+01   -0.330291393341506101E+01    0.440368054989234111E+03
    0.130064084228957833E+01    0.135968864215245458E+04   -0.486695278887977523E+01   -0.741121289913987535E+01   -0.101204060805535754E+02   -0.356779635751476754E+01    0.440394854968834977E+03
    0.130568962307705050E+01    0.124845211025314711E+04   -0.510388488573541999E+01   -0.732439956198490627E+01   -0.119432836163364620E+02   -0.355387049288465029E+01    0.440476405746699072E+03
    0.130601418525933388E+01    0.136570792905763346E+04   -0.696096098683216180E+01   -0.765528288412724311E+01   -0.960814349312378013E+01   -0.395563528463411984E+01    0.440481338075264773E+03
    0.130126866183480705E+01    0.130894090198078925E+04   -0.503911165857897636E+01   -0.632701254773407928E+01   -0.112286119472511388E+02   -0.334974905182542138E+01    0.440520751368648007E+03
    0.130436593466448381E+01    0.128713064649476360E+04   -0.556749941880932475E+01   -0.724913894034745976E+01   -0.978723544418799030E+01   -0.362635249504741353E+01    0.440598482395721135E+03
